l1,case 1 - const vel (T=0.049111111),case 1 - const vel (T=0.049111111),case 1 - const vel (T=0.049111111),case2 - const acc (T=0.002),case2 - const acc (T=0.002),case2 - const acc (T=0.002),case3 - smooth (T=0.002444444),case3 - smooth (T=0.002444444),case3 - smooth (T=0.002444444)
l2,servo_x[m],potent._x[m],encoder_x[m],servo_x[m],potent._x[m],encoder_x[m],servo_x[m],potent._x[m],encoder_x[m]
103,0.040344777686499966,0.042225108705868174,0.042523344000000005,0.004867333333333335,0.005118854598936519,0.004976135999999986,0.003649962299333333,0.0038978971312244198,0.004395302908927986
104,0.041138740647666636,0.043048970517712455,0.043327568,0.005065999999999999,0.005246696689940358,0.005177191999999984,0.0038235178233333327,0.0041012765142278435,0.004574024
105,0.041932703608833305,0.04387799659702846,0.044182056,0.0052693333333333325,0.00549075884511421,0.005378247999999984,0.0040007400133333345,0.004283356264899557,0.004735981041791983
106,0.042734851755166635,0.044663118707820686,0.04498628,0.005477,0.005740631978812092,0.005579303999999984,0.004182036276666667,0.004484806594300962,0.004931452108223982
107,0.04352881471633329,0.04549924836803044,0.045840768,0.005688333333333333,0.005909151054642173,0.0057803599999999835,0.004368628835333334,0.004664300976474852,0.00517718717465598
108,0.04432277767749997,0.04631923538771209,0.046644992,0.005903666666666666,0.0060892921229623,0.006031679999999984,0.004561332504000001,0.004868332336531067,0.005372658241087985
109,0.0451249258238333,0.047123080649148705,0.04744921600000001,0.006123666666666665,0.0064728182247078435,0.0062327359999999835,0.0047593324680000005,0.005079462681247441,0.005568129307519983
110,0.04592707397016663,0.04797276802080353,0.048303704,0.006347333333333332,0.006658770252697418,0.006484055999999967,0.004962221320000002,0.005288013665727621,0.005813864373951982
111,0.04673740730166663,0.04882955705173779,0.049107927999999995,0.006574333333333332,0.006897021268262205,0.006685111999999983,0.00516999906,0.00550883458921343,0.006009335440383981
112,0.047555925818333296,0.049665685019414416,0.049912152,0.006804999999999999,0.007077162264934484,0.006936431999999983,0.005383073095333335,0.005722547474093181,0.0062550705068159795
113,0.048366259149833286,0.050498585498132846,0.05076664,0.0070399999999999985,0.007361901233243095,0.007137487999999985,0.005601443426000001,0.005982752356182099,0.006484056000000001
