,v_const,a_const,smooth
224,-2.5826742420259e-06,0.00048166868251208703,6.456685310025987e-06
225,-8.393691323478048e-06,0.0005572118848739892,-5.165348248003154e-06
226,9.039359876589716e-06,0.0005862669620461046,6.45668538386183e-07
227,3.228342793673035e-05,0.0006037000081736075,6.45668538386183e-07
228,3.2283428246606827e-06,0.0005978889928124158,-1.6787381865014395e-05
229,-2.0015725530687057e-05,0.0006385661000333256,-1.6787381865014395e-05
230,-2.5826742420259e-06,0.0006501881305361332,-1.6787381865014395e-05
231,3.2283428246606827e-06,0.0006734321913661489,6.456685310025987e-06
232,9.039359876589716e-06,0.0006792432065370795,-1.0976365049142024e-05
233,-8.393691323478048e-06,0.0007024872670745092,-2.2598398695628286e-05
234,-2.5826742420259e-06,0.0007373533574419514,-2.2598398695628286e-05
235,9.039359876589716e-06,0.0007547864024283053,-5.165348248003154e-06
236,9.039359876589716e-06,0.0007373533574419514,-1.0976365049142024e-05
237,2.0661393936175134e-05,0.0007954635068849763,-1.0976365049142024e-05
238,9.039359876589716e-06,0.0007954635068849763,1.2267702066940306e-05
239,3.2283428246606827e-06,0.0008187075662530807,2.3889735536536373e-05
240,9.039359876589716e-06,0.0008477626401346714,1.2267702066940306e-05
241,2.0661393936175134e-05,0.0008710066989771472,-5.165348248003154e-06
242,9.039359876589716e-06,0.0009349278595901074,-5.165348248003154e-06
243,3.2283428246606827e-06,0.0009174948159616245,6.456685310025987e-06
244,9.039359876589716e-06,0.0009174948159616245,-1.6787381865014395e-05
245,-8.393691323478048e-06,0.0009523609030873277,-5.165348248003154e-06
246,3.2283428246606827e-06,0.0009581719175572466,1.807871880910509e-05
247,2.6472410943823502e-05,0.00100466003279178,6.456685310025987e-06
248,3.2283428246606827e-06,0.0009930380040706038,6.45668538386183e-07
249,-8.393691323478048e-06,0.0010511481470938061,-5.165348248003154e-06
250,3.2283428246606827e-06,0.001056959161316013,-1.0976365049142024e-05
251,9.039359876589716e-06,0.0010627701755236548,1.2267702066940306e-05
252,3.2283428246606827e-06,0.0011034472745695477,1.2267702066940306e-05
253,-2.5826742420259e-06,0.0011383133588984508,6.45668538386183e-07
254,9.039359876589716e-06,0.0011557464008664971,-1.0976365049142024e-05
255,1.4850376913777231e-05,0.0011557464008664971,1.807871880910509e-05
