v_const,a_const,smooth
0.00010052800000000001,0.004322704,0.001306864
0.00010052800000000001,0.0043729680000000005,0.0013571280000000004
0.00010052800000000001,0.0043729680000000005,0.0013571280000000004
0.00010052800000000001,0.004423232000000001,0.0013571280000000004
0.00010052800000000001,0.0044734959999999995,0.0014073920000000001
0.00010052800000000001,0.00452376,0.0014073920000000001
0.00010052800000000001,0.004574024,0.001457656
0.00010052800000000001,0.004624288,0.001457656
0.00010052800000000001,0.004674552,0.00150792
0.00010052800000000001,0.004724816000000001,0.00150792
0.00010052800000000001,0.00477508,0.00150792
0.00010052800000000001,0.004825344,0.001558184
0.000150792,0.004875608,0.001558184
0.000150792,0.004925872,0.0016084480000000002
0.000150792,0.004976136,0.0016084480000000002
0.000150792,0.0050264,0.001658712
0.000150792,0.005076663999999999,0.001658712
0.000150792,0.005126928,0.001708976
0.000150792,0.005177192000000001,0.001708976
0.000150792,0.005227456,0.00175924
0.000150792,0.0052777200000000005,0.00175924
0.000150792,0.005327984,0.00175924
0.000150792,0.005378248,0.001809504
0.000150792,0.005428512000000002,0.001809504
0.000150792,0.005478776000000001,0.0018597680000000004
0.000150792,0.00552904,0.0018597680000000004
0.000150792,0.005579304,0.001910032
0.000150792,0.005629568000000001,0.001910032
0.000150792,0.005679832,0.001960296
0.000150792,0.005730096,0.001960296
0.000150792,0.00578036,0.0020105599999999998
0.000150792,0.005830624,0.0020105599999999998
0.000150792,0.005931152000000001,0.002060824
0.000150792,0.005981416000000001,0.002060824
0.000150792,0.00603168,0.0021110879999999997
0.00020105600000000002,0.006081944,0.0021110879999999997
0.00020105600000000002,0.006132208000000001,0.002161352
0.00020105600000000002,0.006182472,0.002161352
0.00020105600000000002,0.006232736,0.0022116160000000004
0.00020105600000000002,0.006283000000000001,0.0022116160000000004
0.00020105600000000002,0.006333264000000001,0.00226188
0.00020105600000000002,0.006383528,0.00226188
0.00020105600000000002,0.006484056000000001,0.002312144
0.00020105600000000002,0.0065343200000000014,0.0023624080000000003
0.00020105600000000002,0.006584584000000001,0.0023624080000000003
0.00020105600000000002,0.006634848,0.002412672
0.00020105600000000002,0.006685112,0.002412672
0.00020105600000000002,0.006735376,0.002462936
0.00020105600000000002,0.006785640000000002,0.002462936
0.00020105600000000002,0.006886168000000001,0.0025132
0.00020105600000000002,0.006936432,0.0025132
0.00020105600000000002,0.006986696000000001,0.002563464
0.00020105600000000002,0.00703696,0.002563464
