,v_const,a_const,smooth,integrated_v_const,integrated_a_const,integrated_smooth
134,0.01633333333333333,0.161,0.1423333333333333,0.06539144429649994,0.012902333333333332,0.011481960875333338
135,0.016666666666666666,0.16266666666666665,0.14400000000000002,0.06620177762799995,0.013225999999999998,0.011831923774666672
136,0.017,0.165,0.14533333333333334,0.06702848132983329,0.013553666666666665,0.012185553340000006
137,0.016666666666666666,0.16633333333333333,0.14766666666666667,0.06785518503166663,0.013884999999999998,0.012543664386000006
138,0.01633333333333333,0.16833333333333333,0.15066666666666664,0.06866551836316663,0.014219666666666665,0.012908293949333339
139,0.017,0.16999999999999998,0.15466666666666665,0.0694840368798333,0.014557999999999998,0.013281479066666673
140,0.016666666666666666,0.17200000000000001,0.158,0.07031074058166664,0.014899999999999998,0.01366362714533334
141,0.016666666666666666,0.17366666666666666,0.161,0.07112925909833331,0.015245666666666664,0.014053515963333341
142,0.017,0.17633333333333334,0.16299999999999998,0.07195596280016665,0.015595666666666664,0.01444951589133334
143,0.01633333333333333,0.178,0.165,0.07277448131683333,0.01595,0.01485040470733334
144,0.01633333333333333,0.18066666666666667,0.16666666666666666,0.07357662946316666,0.016308666666666666,0.015255775004000008
145,0.016666666666666666,0.18233333333333332,0.16866666666666666,0.07438696279466667,0.016671666666666664,0.01566562678133334
146,0.01633333333333333,0.18466666666666667,0.17099999999999999,0.07519729612616667,0.017038666666666664,0.016080774854000005
147,0.01633333333333333,0.186,0.174,0.07599944427250001,0.017409333333333332,0.016502441444000007
148,0.016666666666666666,0.18933333333333333,0.17666666666666667,0.07680977760400001,0.017784666666666664,0.016931033958666672
149,0.016,0.19066666666666665,0.17933333333333332,0.07761192575033335,0.018164666666666662,0.01736614499066667
150,0.01633333333333333,0.193,0.18233333333333332,0.07840588871150002,0.01854833333333333,0.017808181947333336
151,0.01633333333333333,0.19466666666666665,0.18533333333333332,0.07920803685783336,0.018935999999999998,0.018257552236000004
152,0.01633333333333333,0.19666666666666668,0.18766666666666668,0.08001018500416669,0.019327333333333332,0.018713441042000005
153,0.01633333333333333,0.19833333333333333,0.18966666666666668,0.08081233315050003,0.01972233333333333,0.01917462614333334
154,0.016666666666666666,0.20066666666666666,0.191,0.08162266648200003,0.02012133333333333,0.019639885318000004
155,0.01633333333333333,0.20233333333333334,0.193,0.08243299981350004,0.020524333333333332,0.020109218566000005
156,0.01633333333333333,0.20500000000000002,0.19533333333333333,0.08323514795983337,0.020931666666666664,0.02058384810933334
157,0.017,0.20666666666666667,0.19866666666666666,0.08405366647650005,0.021343333333333332,0.02106540357733334
158,0.01633333333333333,0.20866666666666667,0.20133333333333334,0.08487218499316672,0.021758666666666666,0.02155429237733334
159,0.01633333333333333,0.21033333333333332,0.20400000000000001,0.08567433313950006,0.022177666666666665,0.022049699694666674
160,0.016666666666666666,0.21233333333333335,0.20633333333333334,0.08648466647100006,0.02260033333333333,0.02255121812200001
161,0.016666666666666666,0.21366666666666667,0.20833333333333334,0.08730318498766673,0.02302633333333333,0.023058032844666676
162,0.01633333333333333,0.21633333333333335,0.21,0.08811351831916674,0.02345633333333333,0.02356932904800001
163,0.016666666666666666,0.218,0.21166666666666664,0.08892385165066674,0.02389066666666666,0.024084699324666677
164,0.016666666666666666,0.21933333333333332,0.214,0.08974237016733341,0.024327999999999995,0.024604958489333344
165,0.01633333333333333,0.221,0.215,0.09055270349883342,0.02476833333333333,0.025129291727333344
166,0.01633333333333333,0.22366666666666665,0.217,0.09135485164516675,0.025212999999999996,0.025657291631333345
167,0.01633333333333333,0.226,0.21966666666666665,0.09215699979150009,0.025662666666666663,0.026190995238000014
168,0.01633333333333333,0.22866666666666668,0.22133333333333333,0.09295914793783343,0.02611733333333333,0.026729995140000015
169,0.01633333333333333,0.23,0.224,0.09376129608416676,0.026575999999999995,0.027274291337333348
170,0.01633333333333333,0.232,0.22566666666666665,0.0945634442305001,0.027037999999999996,0.027823883830000014
171,0.01633333333333333,0.23399999999999999,0.22833333333333333,0.09536559237683344,0.027503999999999997,0.028378772618000012
172,0.016666666666666666,0.23633333333333334,0.23033333333333333,0.09617592570833344,0.02797433333333333,0.028939365108666678
173,0.01633333333333333,0.239,0.2326666666666667,0.09698625903983345,0.028449666666666665,0.02950525389466668
174,0.01633333333333333,0.24133333333333334,0.23433333333333334,0.09778840718616678,0.028929999999999997,0.03007603156866668
175,0.016,0.24233333333333332,0.23766666666666666,0.09858237014733345,0.029413666666666664,0.03065292035266668
176,0.016,0.24466666666666667,0.24033333333333334,0.09936814792333346,0.029900666666666666,0.03123714246866668
177,0.01633333333333333,0.24733333333333332,0.243,0.10016211088450012,0.030392666666666665,0.031827883102000014
178,0.016666666666666666,0.24966666666666668,0.24533333333333335,0.10097244421600013,0.030889666666666666,0.03242473484533335
179,0.01633333333333333,0.25066666666666665,0.24800000000000003,0.10178277754750013,0.03139,0.03302769769866668
180,0.016666666666666666,0.25266666666666665,0.24966666666666668,0.10259311087900014,0.031893333333333336,0.03363595684733335
181,0.016666666666666666,0.254,0.25066666666666665,0.10341162939566681,0.032400000000000005,0.03424747525466668
182,0.016666666666666666,0.25633333333333336,0.25266666666666665,0.10423014791233348,0.03291033333333334,0.03486266032800002
183,0.016666666666666666,0.25833333333333336,0.25533333333333336,0.10504866642900015,0.03342500000000001,0.03548354910400002
184,0.016666666666666666,0.26,0.258,0.10586718494566683,0.033943333333333346,0.03611095639733335
185,0.016666666666666666,0.26166666666666666,0.26066666666666666,0.1066857034623335,0.03446500000000001,0.03674488220800002
186,0.017,0.26366666666666666,0.26266666666666666,0.10751240716416684,0.034990333333333346,0.03738451172133335
187,0.016666666666666666,0.26633333333333337,0.26566666666666666,0.10833911086600018,0.03552033333333335,0.038030252344666685
188,0.017,0.269,0.2673333333333333,0.10916581456783352,0.03605566666666668,0.03868169667066668
189,0.016666666666666666,0.26999999999999996,0.269,0.10999251826966686,0.03659466666666668,0.039337215070000014
190,0.016666666666666666,0.272,0.26966666666666667,0.11081103678633353,0.03713666666666668,0.03999558532066668
191,0.016666666666666666,0.274,0.27133333333333337,0.1116295553030002,0.03768266666666668,0.04065680742266668
192,0.016666666666666666,0.2763333333333333,0.27266666666666667,0.11244807381966687,0.03823300000000001,0.04132169619066668
193,0.016666666666666666,0.2783333333333333,0.275,0.11326659233633354,0.03878766666666668,0.04199106643933335
194,0.016666666666666666,0.28,0.27666666666666667,0.11408511085300022,0.03934600000000001,0.042665325576000016
195,0.017,0.2816666666666666,0.28,0.11491181455483356,0.03990766666666668,0.04334569582266668
196,0.01633333333333333,0.2836666666666667,0.28200000000000003,0.11573033307150023,0.040473000000000016,0.04403258458666668
197,0.017,0.286,0.284,0.1165488515881669,0.041042666666666686,0.04472436223866668
198,0.016666666666666666,0.28833333333333333,0.286,0.11737555529000024,0.04161700000000002,0.04542102877866668
199,0.01633333333333333,0.28966666666666663,0.2876666666666667,0.11818588862150024,0.042195000000000024,0.04612217679933335
200,0.017,0.2916666666666667,0.2886666666666667,0.11900440713816691,0.04277633333333336,0.04682658407866668
201,0.016666666666666666,0.29433333333333334,0.28966666666666663,0.11983111084000025,0.043362333333333364,0.047533435802000014
202,0.01633333333333333,0.29600000000000004,0.2903333333333334,0.12064144417150026,0.043952666666666695,0.04824232456200001
203,0.01633333333333333,0.298,0.292,0.1214435923178336,0.04454666666666669,0.048954065173333346
204,0.01633333333333333,0.30033333333333334,0.29233333333333333,0.12224574046416693,0.045145000000000025,0.04966825022866668
205,0.016,0.30233333333333334,0.29433333333333334,0.1230397034253336,0.04574766666666669,0.05038528713533335
206,0.016666666666666666,0.30433333333333334,0.29633333333333334,0.12384185157166694,0.04635433333333336,0.051107212930000014
207,0.01633333333333333,0.3063333333333333,0.298,0.12465218490316694,0.04696500000000003,0.051833620205333344
208,0.016,0.3076666666666667,0.3,0.1254461478643336,0.047579000000000024,0.05256450896133334
209,0.01633333333333333,0.31,0.3026666666666667,0.12624011082550027,0.04819666666666669,0.05330110142000001
210,0.01633333333333333,0.31166666666666665,0.30366666666666664,0.1270422589718336,0.04881833333333336,0.054042175359333346
211,0.016666666666666666,0.314,0.30433333333333334,0.1278525923033336,0.04944400000000002,0.05478528633533335
